bridge,36,110.4,61,6
whilst,33,143.3,61,6
partly,24,273.9,61,6
signed,23,300,61,6
threat,17,435.5,61,6
client,66,4.6,60,6
afraid,59,0.2,60,6
either,39,78,60,6
player,25,257.6,60,6
notice,39,70,59,6
spring,22,287.4,59,6
profit,37,83.3,58,6
bright,25,227,58,6
volume,19,346.8,58,6
murder,13,495.4,58,6
sought,9,634.4,58,6
models,7,697.5,58,6
asking,111,355.3,57,6
option,31,134.8,57,6
reform,29,159.2,57,6
object,15,424.9,57,6
claims,13,479.3,57,6
pieces,54,0.5,56,6
estate,40,49.3,56,6
driver,34,92.3,56,6
flight,12,480.3,56,6
belief,11,531.4,56,6
forget,117,471.4,55,6
double,72,44.7,55,6
second,62,7.2,55,6
orders,30,125.5,55,6
breath,14,409.4,55,6
search,12,475,55,6
desire,10,540.1,55,6
treaty,8,616.3,55,6
branch,43,24.2,54,6
pushed,23,220.9,54,6
nobody,144,944.9,53,6
chosen,16,335.4,53,6
answer,60,10.9,52,6
entire,14,378.5,52,6
stated,11,467.5,52,6
castle,10,495.2,52,6
engine,38,35.5,51,6
inside,38,34.4,51,6
enable,20,234.3,51,6
stared,1,876.9,51,6
thanks,162,1361.9,50,6
listen,125,709.4,50,6
severe,14,335.9,50,6
injury,13,366.1,50,6
obtain,9,501.2,50,6
horses,49,0,49,6
spread,23,157.1,49,6
palace,11,412.3,48,6
author,5,591,48,6
living,35,33.4,47,6
sample,17,251,47,6
nation,15,285.2,47,6
cities,13,340.3,47,6
unique,11,398.2,47,6
unions,36,21,46,6
aspect,24,117.5,46,6
vision,11,376.5,46,6
rarely,9,431.5,46,6
easier,65,69.3,45,6
lights,57,28.1,45,6
plenty,57,25.7,45,6
sports,29,60.9,45,6
broken,26,90.9,45,6
cancer,19,186.9,45,6
beauty,17,218.8,45,6
struck,14,293.9,45,6
reader,5,557.7,45,6
stayed,38,8.9,44,6
guilty,27,69.8,44,6
acting,17,207.4,44,6
stages,14,277.7,44,6
artist,10,379,44,6
gently,8,441.6,44,6
firmly,7,481.4,44,6
warned,7,458.4,44,6
unlike,6,519.9,44,6
thirty,520,12743,43,6
lovely,231,3379.6,43,6
square,32,28.7,43,6
except,22,118.7,43,6
border,13,272.1,43,6
linked,13,269.8,43,6
victim,10,347,43,6
autumn,10,340.8,43,6
waited,8,427.9,43,6
talked,68,125.9,42,6
expert,19,149,42,6
abroad,19,143.7,42,6
remove,14,244.1,42,6
golden,11,297.9,42,6
editor,10,341.9,42,6
lifted,9,357.5,42,6
silent,6,462,42,6
wealth,6,461.2,42,6
twelve,278,4881.9,41,6
paying,95,473.2,41,6
mostly,27,55,41,6
deputy,16,203.7,41,6
silver,15,219.1,41,6
duties,13,256.1,41,6
owners,11,279.6,41,6
writer,9,358.7,41,6
decade,7,429.8,41,6
denied,6,436.7,41,6
manage,50,20.3,40,6
strike,30,27.3,40,6
facing,20,120,40,6
agents,17,159,40,6
height,16,174.4,40,6
wished,11,278.7,40,6
notion,9,325.4,40,6
gained,8,389.9,40,6
claims,7,402.9,40,6
empire,7,396.4,40,6
buying,59,82.9,39,6
parish,38,0.7,39,6
longer,38,0.4,39,6
taught,28,31.4,39,6
parent,27,38.2,39,6
travel,22,81.8,39,6
worker,18,135.3,39,6
marked,15,196.3,39,6
leaves,14,202,39,6
living,14,197.7,39,6
secret,10,290,39,6
clause,9,328.8,39,6
rising,9,313.7,39,6
global,8,342.4,39,6
images,6,407.8,39,6
motion,119,963.9,38,6
shared,19,117.1,38,6
handed,16,160.3,38,6
regime,8,330.8,38,6
wonder,124,1111.8,37,6
starts,60,113.8,37,6
prefer,35,0.8,37,6
stairs,35,0.8,37,6
travel,22,73.6,37,6
copies,19,97.7,37,6
depend,16,139.2,37,6
guests,10,267.9,37,6
visual,10,265.9,37,6
result,6,383.2,37,6
thinks,62,134.2,36,6
pocket,33,1.8,36,6
losing,27,22.6,36,6
circle,19,85,36,6
behind,17,119.3,36,6
